"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: K"
"lab.jvm.serialization.SerializationBench.readOrder:gc.alloc.rate.norm","thrpt",1,12,10232.075467,0.002039,"B/op",
"lab.jvm.serialization.SerializationBench.readOrder:gc.count","thrpt",1,12,74.000000,NaN,"counts",
"lab.jvm.serialization.SerializationBench.readOrder:gc.time","thrpt",1,12,36.000000,NaN,"ms",
"lab.jvm.serialization.SerializationBench.readPoint","thrpt",1,12,560086.438173,10538.263157,"ops/s",
"lab.jvm.serialization.SerializationBench.readPoint:gc.alloc.rate","thrpt",1,12,1790.102638,35.896303,"MB/sec",
"lab.jvm.serialization.SerializationBench.readPoint:gc.alloc.rate.norm","thrpt",1,12,3352.012547,21.404803,"B/op",
"lab.jvm.serialization.SerializationBench.readPoint:gc.count","thrpt",1,12,119.000000,NaN,"counts",
"lab.jvm.serialization.SerializationBench.readPoint:gc.time","thrpt",1,12,60.000000,NaN,"ms",
"lab.jvm.serialization.SerializationBench.readStringList","thrpt",1,12,80067.502374,1832.449993,"ops/s",
"lab.jvm.serialization.SerializationBench.readStringList:gc.alloc.rate","thrpt",1,12,1053.190031,23.558538,"MB/sec",
"lab.jvm.serialization.SerializationBench.readStringList:gc.alloc.rate.norm","thrpt",1,12,13796.088083,16.054454,"B/op",
"lab.jvm.serialization.SerializationBench.readStringList:gc.count","thrpt",1,12,86.000000,NaN,"counts",
"lab.jvm.serialization.SerializationBench.readStringList:gc.time","thrpt",1,12,43.000000,NaN,"ms",
"lab.jvm.serialization.SerializationBench.readUnicodeList","thrpt",1,12,110825.381785,2203.261091,"ops/s",
"lab.jvm.serialization.SerializationBench.readUnicodeList:gc.alloc.rate","thrpt",1,12,1210.108925,24.297508,"MB/sec",
"lab.jvm.serialization.SerializationBench.readUnicodeList:gc.alloc.rate.norm","thrpt",1,12,11452.063493,16.053409,"B/op",
"lab.jvm.serialization.SerializationBench.readUnicodeList:gc.count","thrpt",1,12,98.000000,NaN,"counts",
"lab.jvm.serialization.SerializationBench.readUnicodeList:gc.time","thrpt",1,12,47.000000,NaN,"ms",
"lab.jvm.serialization.SerializationBench.reuseWriteCustomer","thrpt",1,12,2597176.833546,82511.877355,"ops/s",
"lab.jvm.serialization.SerializationBench.reuseWriteCustomer:gc.alloc.rate","thrpt",1,12,713.188654,22.647856,"MB/sec",
"lab.jvm.serialization.SerializationBench.reuseWriteCustomer:gc.alloc.rate.norm","thrpt",1,12,288.002704,0.000086,"B/op",
"lab.jvm.serialization.SerializationBench.reuseWriteCustomer:gc.count","thrpt",1,12,58.000000,NaN,"counts",
"lab.jvm.serialization.SerializationBench.reuseWriteCustomer:gc.time","thrpt",1,12,27.000000,NaN,"ms",
"lab.jvm.serialization.SerializationBench.reuseWriteOrder","thrpt",1,12,349917.863934,218399.627123,"ops/s",
"lab.jvm.serialization.SerializationBench.reuseWriteOrder:gc.alloc.rate","thrpt",1,12,365.642576,228.277501,"MB/sec",
"lab.jvm.serialization.SerializationBench.reuseWriteOrder:gc.alloc.rate.norm","thrpt",1,12,1096.024493,0.013286,"B/op",
"lab.jvm.serialization.SerializationBench.reuseWriteOrder:gc.count","thrpt",1,12,29.000000,NaN,"counts",
"lab.jvm.serialization.SerializationBench.reuseWriteOrder:gc.time","thrpt",1,12,28.000000,NaN,"ms",
"lab.jvm.serialization.SerializationBench.writeAnalytics","thrpt",1,12,15014.823951,6525.133385,"ops/s",
